text_id,u_n,u_who,text,label
SC2T,252,S0392,we're all thinking of them now aren't we?,
ST82,298,S0617,very new very modern,
S5QR,10,S0325,I did I loved it,
SA2J,2365,S0622,consign charge the people who made the pipes for cos they've turned up without ends on and they're all dirty,
SJLF,429,S0202,can I just point out this is for Cambridge University? so,1
S8CB,816,S0593,no he won't be back till tomorrow afternoon,
SB32,1400,S0623,yep,
SAZX,1005,S0602,would you like that or,
ST82,192,S0617,well we're in ,
SUVQ,12220,S0192,until utilities are free I don't think we're developed,
SAUR,1420,S0192,look at it,1
SWY3,2000,S0392,it's it's not on the card,
SQ36,1219,S0337,my my big one's based in ,
SAUR,1275,S0192,so you attack the Cylon ship with Galactica you damaged it,
SWY3,2627,S0392,other ones you could've had were,
SUVQ,11621,S0236,yeah like ,
SUVQ,2469,S0235,no no you,
S3MW,864,S0615,mm,
SGYW,38,S0070,all very old ,
SB4D,251,S0189,that's a big bit,
S632,5444,S0220,it's okay we had dining hall in our school ,
S7UX,303,S0024,okay ,
SAUR,2369,S0189,mm,
SUVQ,4160,S0192,well there's ,
S5XD,223,S0192,I mean she's a bit of a she doesn't live the healthiest lifestyle she's quite big quite ,
S632,4572,S0211,flat,
SNG4,769,S0255,well,
S457,986,S0525,you could sue them,
SUVQ,1612,S0192,I've been through linguistics recently,
S632,4544,S0208,no not the current one,
S6W8,3715,S0497,happily listen to all that sort of stuff,
S632,526,S0218,yeah the kids just sit there don't they? you can do a voice-over ,
S985,2204,S0346,yeah they haven't put any markings on it yet,
S3MW,195,S0525,it's useful to go and try stuff on cos you know when to get it in the sale,
SJN6,20,S0425,two questions fifty yeah,
SEKZ,784,S0353,mm,
S6BS,1340,S0592,ah ,
SHX2,384,S0417,why? would you hate accounting? ,
SGSY,382,S0261,I dunno I just just the topic of what is being filmed for you know does that actually interrelate with anything that we're thinking of?,
STDN,150,S0521,no he said I have no knowledge of this and it it's I'm totally erm dismayed by the whole event,
SVZH,849,S0231,well there weren't nothing to do indoors?,
SEBP,51,S0202,mm ,
SKRC,113,S0440,you know and ,
S6BS,2832,S0592,it's,
SB4D,709,S0192,yeah you it doesn't carry you can't go anywhere,
SJRQ,234,S0391,yeah it was a funny flavour what is it?,
SRNC,255,S0587,erm Tomsk,
SFNQ,1475,S0192,cos when I went it was twelve hundred a year,
SWY3,2539,S0392,yeah daddy?,
SA7J,1702,S0561,five six,
SKJ3,118,S0230,well I have done that before,
SDFL,1818,S0152,no they come and fill the tank up ,
S28F,2323,S0255,I was like I'll be very careful but no I've got er no my coffee machine's got hot water I'll just do that,
S5XD,2501,S0196,oh right,
S6W8,4389,S0497,my go ,
S6BR,175,S0456,apart from my hot key directly to the internet but yeah yeah I definitely have only one sim as you can see in the description I had one sim like that and one from the side and the bit from the side was empty,
SUUE,1104,S0371,to to to do it inside,
SLSS,92,S0585,yeah yeah ,
SB4D,1050,S0192,it's all good I'm a bit perked up again,
